Date,Portfolio_Value
2024-05-31,1.000000
2024-06-28,1.013271
2024-07-31,1.026368
2024-08-30,1.040392
2024-09-30,1.064762
2024-10-31,1.079103
2024-11-29,1.075900
2024-12-31,1.096329
2025-01-31,1.103775
2025-02-28,1.111940
2025-03-31,1.124605
2025-04-30,1.138986
2025-05-30,1.166279
2025-06-30,1.187132
2025-07-31,1.200578
2025-08-29,1.201946
2025-09-30,1.199331
2025-10-31,1.210208
2025-11-28,1.232008
2025-12-31,1.241063
2026-01-30,1.248642
2026-02-27,1.262960
2026-03-31,1.256380
2026-04-30,1.261879
