代码,名称,行业,PE,PB,ROE(%),毛利率(%),总市值(亿),2026Q1净利率(%)
688008,澜起科技,半导体,37.38,1.61,12.68,28.93,763.0,18.53
688981,中芯国际,半导体,46.23,1.89,15.17,21.19,297.0,15.11
603986,兆易创新,半导体,15.93,2.39,19.05,41.8,298.0,16.79
688126,沪硅产业,半导体,43.33,1.53,21.7,47.93,406.0,8.11
688012,睿创微纳,半导体,48.5,3.01,9.58,23.87,863.0,17.07
688396,华润微,半导体,43.25,4.78,17.12,58.92,441.0,16.04
688399,硅基仪器,半导体,44.03,4.28,22.65,43.09,734.0,5.92
688528,安路科技,半导体,22.98,2.8,9.36,29.31,191.0,10.56
688401,凯撒科技,半导体,37.25,3.14,14.29,28.38,340.0,23.73
688535,TCL中环,半导体,37.68,4.24,10.91,49.17,247.0,12.59
